battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20250224T041441.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,91.0,,-5.0,#8GPG8QGVY,adden3690,16000041.0,LOU,9.0,714.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,755.0,#28LR2G099L,jorjaisXDJLAO,16000035.0,GALE,11.0,763.0,,,,,,,,,,,,,,,,,,
20250224T041242.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,125.0,,8.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,747.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,747.0,#2LVU9G9U0U,son goku,16000009.0,DYNAMIKE,11.0,791.0,,,,,,,,,,,,,,,,,,
20250224T041009.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,99.0,,-5.0,#22VU8P992C,𖣂|wymperk,16000011.0,MORTIS,11.0,722.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,752.0,#2R0GPY8GV9,Pablo,16000010.0,EL PRIMO,11.0,755.0,,,,,,,,,,,,,,,,,,
20250224T040754.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,97.0,,9.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,743.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,743.0,#VU0229GC,caracolillo,16000038.0,SURGE,8.0,794.0,,,,,,,,,,,,,,,,,,
20250224T040546.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,38.0,,8.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,735.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,735.0,#G8LU0LJ28,КРУТЯКА,16000012.0,CROW,11.0,674.0,,,,,,,,,,,,,,,,,,
20250224T040438.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,150.0,,-5.0,#8Y9LJ9Y8,Joseph :),16000070.0,CORDELIUS,11.0,674.0,#LY9J220U,HaHaSoFunny,16000066.0,R-T,10.0,706.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,740.0,,,,,,,,,,,,,,,,,,
20250224T040116.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,150.0,,-5.0,#9VUGYVJPY,ishowedbonniemy,16000020.0,FRANK,11.0,691.0,#YULUU99,papotico,16000026.0,BIBI,9.0,687.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,745.0,,,,,,,,,,,,,,,,,,
20250224T035815.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,defeat,60.0,,-5.0,#LURCQ82R8,xdnt,16000020.0,FRANK,11.0,733.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,750.0,#2Q8UYCURG8,Amoaminovia,16000026.0,BIBI,11.0,748.0,,,,,,,,,,,,,,,,,,
20250224T035647.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,45.0,,10.0,#2Q8UYCURG8,Amoaminovia,16000026.0,BIBI,11.0,735.0,#2Q8UYCURG8,Amoaminovia,16000026.0,BIBI,11.0,735.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,740.0,,,,,,,,,,,,,,,,,,
20250224T035537.000Z,15000894,unknown,Buzzer Beater,ranked,basketBrawl,victory,63.0,,9.0,#2Q8UYCURG8,Amoaminovia,16000026.0,BIBI,11.0,722.0,#8LQCJPGR,KingKuang,16000015.0,PIPER,11.0,731.0,#2Q8UYCURG8,Amoaminovia,16000026.0,BIBI,11.0,722.0,,,,,,,,,,,,,,,,,,
20250227T073014.000Z,15000118,brawlBall,Pinball Dreams,soloRanked,brawlBall,victory,100.0,,,#GJVQGV9RR,FirstAv3nger1,16000047.0,SQUEAK,11.0,1.0,#GJVQGV9RR,FirstAv3nger1,16000047.0,SQUEAK,11.0,1.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,1.0,#28QPQPQ8U8,Ricebowl,16000085.0,KENJI,11.0,1.0,,,,,,,,,,,,
20250227T072502.000Z,15000024,brawlBall,Backyard Bowl,ranked,brawlBall,victory,52.0,,8.0,#LVU80J82C,Faker,16000070.0,CORDELIUS,9.0,498.0,#2QQRUV80J8,🌩El King C☠️👺,16000009.0,DYNAMIKE,11.0,472.0,#LVU80J82C,Faker,16000070.0,CORDELIUS,9.0,498.0,#8LQCJPGR,KingKuang,16000022.0,TICK,11.0,502.0,,,,,,,,,,,,
20250301T193945.000Z,15000026,brawlBall,Pinhole Punt,ranked,brawlBall,victory,144.0,,8.0,#22Q9RC8UJR,anciznt,16000009.0,DYNAMIKE,11.0,491.0,#GYL02C2YC,josh is my son,16000069.0,HANK,11.0,503.0,#8LQCJPGR,KingKuang,16000031.0,MR. P,11.0,500.0,#JVPLL82UC,ghost👻,16000049.0,BUZZ,6.0,501.0,,,,,,,,,,,,
20250307T053617.000Z,15000911,unknown,Hidden in Plain Sight,ranked,siege,victory,81.0,,8.0,#9UGLPGUUP,wyatt,16000050.0,GRIFF,11.0,909.0,#29082LCRJ8,Angel,16000043.0,EDGAR,11.0,874.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,817.0,#9UGLPGUUP,wyatt,16000050.0,GRIFF,11.0,909.0,,,,,,,,,,,,
20250307T053426.000Z,15000144,brawlBall,Sunny Soccer,ranked,brawlBall,defeat,105.0,,-6.0,#QC8L2GQCC,gilord,16000048.0,GROM,11.0,836.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,823.0,#U2U0LQJJ,⭐EXALATION⭐,16000031.0,MR. P,11.0,845.0,#QP0CPJ9UU,Dexter,16000013.0,POCO,11.0,853.0,,,,,,,,,,,,
20250307T053147.000Z,15000144,brawlBall,Sunny Soccer,ranked,brawlBall,defeat,34.0,,-6.0,#20GYG0U0J,𝙰𝚋𝚞𝚁𝚞␈,16000089.0,MEEPLE,10.0,590.0,#2QQPCYCGCY,✨🐐|GENEMESSI,16000008.0,NITA,11.0,808.0,#8QCRGU8P,DoctorD2,16000001.0,COLT,10.0,804.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,829.0,,,,,,,,,,,,
20250307T053042.000Z,15000144,brawlBall,Sunny Soccer,ranked,brawlBall,draw,210.0,,,#2LRR8P8PVV,PAPI-_-SIGMA,16000011.0,MORTIS,11.0,847.0,#RJVP8JY8Q,A|Mike™,16000004.0,RICO,11.0,854.0,#28QCJPL2UY,RomP.cul0s,16000035.0,GALE,10.0,864.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,829.0,,,,,,,,,,,,
20250307T014733.000Z,15000144,brawlBall,Sunny Soccer,ranked,brawlBall,defeat,43.0,,-6.0,#8VVUVUVGP,FERNANDO.JR,16000043.0,EDGAR,11.0,850.0,#222LGYQGC0,Danfel369,16000018.0,DARRYL,11.0,835.0,#8LQCJPGR,KingKuang,16000009.0,DYNAMIKE,11.0,835.0,#2UYUQJV0,Minwall,16000006.0,BARLEY,11.0,837.0,,,,,,,,,,,,
