battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20250111T193109.000Z,15000864,unknown,Grassy Grave,ranked,knockout,victory,125.0,,,#LV9QQLR08,nguyentran,16000043.0,EDGAR,11.0,519.0,#8JYJY298,FruityPebbles,16000007.0,JESSIE,10.0,513.0,#LV9QQLR08,nguyentran,16000043.0,EDGAR,11.0,519.0,,,,,,,,,,,,,,,,,,
20250111T192826.000Z,15000864,unknown,Grassy Grave,ranked,knockout,victory,88.0,,,#LV9QQLR08,nguyentran,16000043.0,EDGAR,11.0,519.0,#8JYJY298,FruityPebbles,16000007.0,JESSIE,10.0,513.0,#LV9QQLR08,nguyentran,16000043.0,EDGAR,11.0,519.0,,,,,,,,,,,,,,,,,,
20250111T192615.000Z,15000864,unknown,Grassy Grave,ranked,knockout,defeat,109.0,,,#PJRYCUYYQ,jehh2011,16000013.0,POCO,11.0,740.0,#8JYJY298,FruityPebbles,16000053.0,LOLA,10.0,577.0,#LV9QQLR08,nguyentran,16000043.0,EDGAR,11.0,519.0,,,,,,,,,,,,,,,,,,
20250111T192340.000Z,15000864,unknown,Grassy Grave,ranked,knockout,victory,116.0,,,#GJV9LRVU,Leonardo,16000001.0,COLT,11.0,573.0,#LV9QQLR08,nguyentran,16000043.0,EDGAR,11.0,519.0,#8JYJY298,FruityPebbles,16000024.0,ROSA,10.0,633.0,,,,,,,,,,,,,,,,,,
20250113T153800.000Z,0,,,ranked,bounty,victory,90.0,,,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,#28RPLGC9JY,Elvis Presley,16000077.0,LARRY & LAWRIE,7.0,381.0,#YV22R2YYV,el árabe2.0,16000019.0,PENNY,11.0,391.0,,,,,,,,,,,,
20250113T153545.000Z,0,,,ranked,bounty,defeat,31.0,,,#GGCJGY2V0,zeh10,16000019.0,PENNY,9.0,377.0,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,#GJCU0PUV0,Polar Bear,16000065.0,MANDY,9.0,347.0,#RJG0GVRYL,⚡️FIRAT⚡️,16000027.0,8-BIT,7.0,324.0,,,,,,,,,,,,
20250113T153428.000Z,0,,,ranked,bounty,defeat,49.0,,,#2G2LLJ9000,panchito374,16000004.0,RICO,10.0,395.0,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,#2QCUPGGQG9,100%JOKER,16000001.0,COLT,1.0,330.0,#PLG889R2J,BigMoist,16000082.0,BERRY,9.0,378.0,,,,,,,,,,,,
20250113T153309.000Z,0,,,ranked,bounty,defeat,45.0,,,#CQ88LULUL,Destroyer 10,16000007.0,JESSIE,9.0,332.0,#8G2GYCCP,AlexTheGreat,16000068.0,MAISIE,9.0,312.0,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,#2QCUPGGQG9,100%JOKER,16000001.0,COLT,1.0,330.0,,,,,,,,,,,,
20250113T153156.000Z,0,,,ranked,bounty,defeat,50.0,,,#GL2RJ08VC,Grant,16000086.0,SHADE,11.0,382.0,#P8QR2CUYJ,bustonemkidsJay,16000065.0,MANDY,7.0,385.0,#2QU8QCLRR9,Carlos073,16000045.0,STU,7.0,359.0,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,,,,,,,,,,,,
20250113T153039.000Z,0,,,ranked,bounty,defeat,63.0,,,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,#2QU8QCLRR9,Carlos073,16000045.0,STU,7.0,359.0,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,#2QCUPGGQG9,100%JOKER,16000001.0,COLT,1.0,330.0,,,,,,,,,,,,
20250113T152854.000Z,0,,,ranked,bounty,defeat,94.0,,,#PGC9P98UR,KakakaBoom,16000062.0,BUSTER,11.0,377.0,#2G9PLLRGYC,chorizo :),16000080.0,DRACO,11.0,387.0,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,#2GUUPJ80G8,Emmnuel,16000089.0,MEEPLE,8.0,379.0,,,,,,,,,,,,
20250113T145837.000Z,0,,,ranked,bounty,victory,79.0,,,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,#8Y0GUQUCJ,car,16000049.0,BUZZ,8.0,323.0,#LV9QQLR08,nguyentran,16000004.0,RICO,9.0,381.0,#RY0G2CL0L,LEBROM,16000017.0,TARA,6.0,399.0,,,,,,,,,,,,
20250113T145639.000Z,0,,,ranked,bounty,defeat,79.0,,,#Y2GYRJPQ0,terrell,16000004.0,RICO,9.0,496.0,#8CC9YCR8,Poco Start,16000047.0,SQUEAK,9.0,461.0,#U29J2LL2U,NotBenny,16000022.0,TICK,11.0,477.0,#LV9QQLR08,nguyentran,16000001.0,COLT,10.0,503.0,,,,,,,,,,,,
20250113T145449.000Z,0,,,ranked,bounty,victory,51.0,,,#U29J2LL2U,NotBenny,16000022.0,TICK,11.0,477.0,#LV9QQLR08,nguyentran,16000001.0,COLT,10.0,503.0,#U29J2LL2U,NotBenny,16000022.0,TICK,11.0,477.0,#PRJYC8GGR,Ralph,16000004.0,RICO,11.0,502.0,,,,,,,,,,,,
20250113T145319.000Z,0,,,ranked,bounty,defeat,49.0,,,#2LC2VCUPRL,Napolitano_K_M,16000047.0,SQUEAK,9.0,367.0,#2LC2VCUPRL,Napolitano_K_M,16000047.0,SQUEAK,9.0,367.0,#PC89J8G9J,roqer,16000003.0,BROCK,8.0,358.0,#LV9QQLR08,nguyentran,16000040.0,AMBER,9.0,399.0,,,,,,,,,,,,
20250113T145155.000Z,0,,,ranked,bounty,victory,85.0,,,#2LC2VCUPRL,Napolitano_K_M,16000047.0,SQUEAK,9.0,367.0,#LV9QQLR08,nguyentran,16000040.0,AMBER,9.0,399.0,#V2QVL9VC,☢️Rodrigo☢️,16000077.0,LARRY & LAWRIE,9.0,394.0,#2LC2VCUPRL,Napolitano_K_M,16000047.0,SQUEAK,9.0,367.0,,,,,,,,,,,,
20250113T040612.000Z,15000864,unknown,Grassy Grave,ranked,knockout,defeat,131.0,,,#8U0PYL0,Rathon,16000018.0,DARRYL,11.0,508.0,#28R202YR,CharlesGTR,16000004.0,RICO,8.0,463.0,#LV9QQLR08,nguyentran,16000043.0,EDGAR,11.0,519.0,,,,,,,,,,,,,,,,,,
