battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20241206T060224.000Z,15000306,hotZone,Dueling Beetles,ranked,hotZone,victory,85.0,,13.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,5.0,72.0,#GYY829VQQ,Ray >:),16000079.0,ANGELO,1.0,61.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,5.0,72.0,#GGJLL2YG2,Truly_Jxydenツ,16000086.0,SHADE,7.0,63.0,,,,,,,,,,,,
20241206T060034.000Z,15000306,hotZone,Dueling Beetles,ranked,hotZone,victory,75.0,,13.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,5.0,59.0,#2QJ0PP0VLY,TheMightyBINGUS,16000086.0,SHADE,7.0,29.0,#2GL2YQC8RJ,wes,16000014.0,BO,6.0,75.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,5.0,59.0,,,,,,,,,,,,
20241206T055853.000Z,15000306,hotZone,Dueling Beetles,ranked,hotZone,victory,78.0,,13.0,#GLJJULQQY,cfdc,16000001.0,COLT,8.0,76.0,#8JLLQY2RP,JhonaHD,16000086.0,SHADE,9.0,85.0,#8JYJY298,FruityPebbles,16000073.0,CHUCK,5.0,46.0,#GLJJULQQY,cfdc,16000001.0,COLT,8.0,76.0,,,,,,,,,,,,
20241206T055810.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,10.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241206T055244.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,10.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241206T055055.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,6.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241206T054836.000Z,15000101,soloShowdown,Dark Passage,ranked,soloShowdown,,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20241206T054610.000Z,15000700,knockout5V5,Sizzling Chambers,ranked,knockout,victory,184.0,,8.0,#J8Q0QQCQ2,the goat,16000022.0,TICK,11.0,663.0,#2QLCCRYPGP,abisita,16000007.0,JESSIE,9.0,676.0,#PLV928V0,NalgonZo,16000023.0,LEON,11.0,323.0,#29CJVV8LP,sabodra1,16000001.0,COLT,11.0,679.0,#J8Q0QQCQ2,the goat,16000022.0,TICK,11.0,663.0,#8JYJY298,FruityPebbles,16000004.0,RICO,11.0,705.0
20241206T054238.000Z,15000700,knockout5V5,Sizzling Chambers,ranked,knockout,defeat,208.0,,-5.0,#GJU99820R,AtackeR,16000003.0,BROCK,9.0,696.0,#2QGQP8P20L,BOA🪽,16000030.0,EMZ,10.0,315.0,#2QGQQQV90U,DubaiKitty👽🛸,16000065.0,MANDY,11.0,719.0,#8JYJY298,FruityPebbles,16000004.0,RICO,11.0,710.0,#QGQG0UV9,maohenhao,16000022.0,TICK,11.0,754.0,#80GP2LR,Tallobeh,16000003.0,BROCK,11.0,767.0
20241206T053248.000Z,15000700,knockout5V5,Sizzling Chambers,ranked,knockout,victory,112.0,,9.0,#8GCR8LLQP,FERNAN_VL,16000015.0,PIPER,11.0,783.0,#2L902RGJVQ,Gino,16000001.0,COLT,9.0,656.0,#2YUYPP0002,Azura,16000005.0,SPIKE,11.0,648.0,#2QQRPU2YRR,CamEyeAm,16000019.0,PENNY,11.0,757.0,#8GCR8LLQP,FERNAN_VL,16000015.0,PIPER,11.0,783.0,#8JYJY298,FruityPebbles,16000004.0,RICO,11.0,701.0
